Package,Current_Version,Latest_Version,Ecosystem,Source_Package,Total_CVEs,Fixed,Open,Unknown,New_In_Latest,Net_Change,Recommendation
xml2js,0.4.22,0.6.2,npm,xml2js,1,1,0,0,0,-1,"UPGRADE — all 1 CVEs fixed; no new CVEs"
yargs-parser,11.1.1,22.0.0,npm,yargs-parser,1,1,0,0,0,-1,"UPGRADE — all 1 CVEs fixed; no new CVEs"
yarn,1.22.5,1.22.22,npm,yarn,1,1,0,0,0,-1,"UPGRADE — all 1 CVEs fixed; no new CVEs"
libmariadb-dev,1:10.3.27-0+deb10u1,unknown,debian,mariadb-10.3,53,0,0,53,0,0,"INVESTIGATE — fix status unknown for all 53 CVEs"
libde265-0,1.0.3-1+b1,unknown,debian,libde265@1.0.3-1,52,0,0,52,0,0,"INVESTIGATE — fix status unknown for all 52 CVEs"
node,16.0.0,unknown,unknown,node,46,0,0,46,0,0,"INVESTIGATE — fix status unknown for all 46 CVEs"
libpython2.7-minimal,2.7.16-2+deb10u1,unknown,debian,python2.7,27,0,0,27,0,0,"INVESTIGATE — fix status unknown for all 27 CVEs"
libxml2,2.9.4+dfsg1-7+deb10u1,unknown,debian,libxml,20,0,0,20,0,0,"INVESTIGATE — fix status unknown for all 20 CVEs"
libpq-dev,11.11-0+deb10u1,unknown,debian,postgresql-11,15,0,0,15,0,0,"INVESTIGATE — fix status unknown for all 15 CVEs"
tar,1.30+dfsg-6,7.5.9,npm,tar,5,0,3,2,0,0,"MIXED — 0 fixed; 3 open; 2 unknown"
libcairo-gobject2,1.16.0-4+deb10u1,unknown,debian,cairo,4,0,4,0,0,0,"NO FIX AVAILABLE — all 4 CVEs still open"
libpython3.7-minimal,3.7.3-2+deb10u3,unknown,debian,python3.7,4,0,0,4,0,0,"INVESTIGATE — fix status unknown for all 4 CVEs"
libwmf-dev,0.2.8.4-14,unknown,debian,libwmf,4,0,4,0,0,0,"NO FIX AVAILABLE — all 4 CVEs still open"
patch,2.7.6-3+deb10u1,unknown,debian,patch,4,0,4,0,0,0,"NO FIX AVAILABLE — all 4 CVEs still open"
bsdutils,1:2.33.1-0.1,unknown,debian,util-linux@2.33.1-0.1,3,0,0,3,0,0,"INVESTIGATE — fix status unknown for all 3 CVEs"
cpp-8,8.3.0-6,unknown,debian,gcc-8,3,0,0,3,0,0,"INVESTIGATE — fix status unknown for all 3 CVEs"
libcroco3,0.6.12-3,unknown,debian,libcroco,3,0,0,3,0,0,"INVESTIGATE — fix status unknown for all 3 CVEs"
coreutils,8.30-3,unknown,debian,coreutils,2,0,2,0,0,0,"NO FIX AVAILABLE — all 2 CVEs still open"
m4,1.4.18-2,unknown,debian,m,2,0,0,2,0,0,"INVESTIGATE — fix status unknown for all 2 CVEs"
apt,1.8.2.2,unknown,debian,apt,1,0,1,0,0,0,"NO FIX AVAILABLE — all 1 CVEs still open"
comerr-dev,2.1-1.44.5-1+deb10u3,unknown,debian,e2fsprogs@1.44.5-1+deb10u3,1,0,0,1,0,0,"INVESTIGATE — fix status unknown for all 1 CVEs"
example-typescript,1.0.0,0.0.1-security,npm,example-typescript,1,0,0,1,0,0,"INVESTIGATE — fix status unknown for all 1 CVEs"
iproute2,4.20.0-2+deb10u1,unknown,debian,iproute,1,0,0,1,0,0,"INVESTIGATE — fix status unknown for all 1 CVEs"
libjbig-dev,2.1-3.1+b2,unknown,debian,jbigkit@2.1-3.1,1,0,0,1,0,0,"INVESTIGATE — fix status unknown for all 1 CVEs"
libprocps7,2:3.3.15-2,unknown,debian,procps,1,0,1,0,0,0,"NO FIX AVAILABLE — all 1 CVEs still open"
libpython-stdlib,2.7.16-1,unknown,debian,python-defaults,1,0,0,1,0,0,"INVESTIGATE — fix status unknown for all 1 CVEs"
monorepo-symlink-test,0.0.0,0.0.1-security,npm,monorepo-symlink-test,1,0,0,1,0,0,"INVESTIGATE — fix status unknown for all 1 CVEs"
parseuri,0.0.5,3.0.2,npm,parseuri,1,0,0,1,0,0,"INVESTIGATE — fix status unknown for all 1 CVEs"
request,2.88.2,2.88.2,npm,request,1,0,1,0,0,0,"NO FIX AVAILABLE — all 1 CVEs still open"
useragent,2.3.0,2.3.0,npm,useragent,1,0,0,1,0,0,"INVESTIGATE — fix status unknown for all 1 CVEs"
zlib1g-dev,1:1.2.11.dfsg-1,unknown,debian,zlib,1,0,1,0,0,0,"NO FIX AVAILABLE — all 1 CVEs still open"
