CVE-2022-3219	pkg:deb/debian/gpgv@2.2.40-1.1%2Bdeb12u2?arch=amd64&distro=debian-12&package-id=bab4532a87a829c8&upstream=gnupg2
CVE-2023-1916	pkg:deb/debian/libtiff6@4.5.0-6%2Bdeb12u3?arch=amd64&distro=debian-12&package-id=017939ea1216b685&upstream=tiff
CVE-2023-1972	pkg:deb/debian/binutils-common@2.40-2?arch=amd64&distro=debian-12&package-id=5bcf7faea7019d8b&upstream=binutils
CVE-2023-1972	pkg:deb/debian/binutils-x86-64-linux-gnu@2.40-2?arch=amd64&distro=debian-12&package-id=d0e449f35480c447&upstream=binutils
CVE-2023-1972	pkg:deb/debian/binutils@2.40-2?arch=amd64&distro=debian-12&package-id=d842b59217648a95
CVE-2023-1972	pkg:deb/debian/libbinutils@2.40-2?arch=amd64&distro=debian-12&package-id=78054169459aae2f&upstream=binutils
CVE-2023-1972	pkg:deb/debian/libctf-nobfd0@2.40-2?arch=amd64&distro=debian-12&package-id=63bfd9a0d6ef6f63&upstream=binutils
CVE-2023-1972	pkg:deb/debian/libctf0@2.40-2?arch=amd64&distro=debian-12&package-id=79f92809e5afae8d&upstream=binutils
CVE-2023-1972	pkg:deb/debian/libgprofng0@2.40-2?arch=amd64&distro=debian-12&package-id=727693742e6e3639&upstream=binutils
CVE-2023-2953	pkg:deb/debian/libldap-2.5-0@2.5.13%2Bdfsg-5?arch=amd64&distro=debian-12&package-id=692b9197d4b21a92&upstream=openldap
CVE-2023-2953	pkg:deb/debian/libldap-common@2.5.13%2Bdfsg-5?arch=all&distro=debian-12&package-id=dd3946a6b1d2298d&upstream=openldap
CVE-2023-31437	pkg:deb/debian/libsystemd0@252.39-1~deb12u1?arch=amd64&distro=debian-12&package-id=ffff5892914d165f&upstream=systemd
CVE-2023-31437	pkg:deb/debian/libudev1@252.39-1~deb12u1?arch=amd64&distro=debian-12&package-id=884632838cded891&upstream=systemd
CVE-2023-31438	pkg:deb/debian/libsystemd0@252.39-1~deb12u1?arch=amd64&distro=debian-12&package-id=ffff5892914d165f&upstream=systemd
CVE-2023-31438	pkg:deb/debian/libudev1@252.39-1~deb12u1?arch=amd64&distro=debian-12&package-id=884632838cded891&upstream=systemd
CVE-2023-31439	pkg:deb/debian/libsystemd0@252.39-1~deb12u1?arch=amd64&distro=debian-12&package-id=ffff5892914d165f&upstream=systemd
CVE-2023-31439	pkg:deb/debian/libudev1@252.39-1~deb12u1?arch=amd64&distro=debian-12&package-id=884632838cded891&upstream=systemd
CVE-2023-31486	pkg:deb/debian/perl-base@5.36.0-7%2Bdeb12u3?arch=amd64&distro=debian-12&package-id=e272b8e8d5eb9292&upstream=perl
CVE-2023-3164	pkg:deb/debian/libtiff6@4.5.0-6%2Bdeb12u3?arch=amd64&distro=debian-12&package-id=017939ea1216b685&upstream=tiff
CVE-2023-32570	pkg:deb/debian/libdav1d6@1.0.0-2%2Bdeb12u1?arch=amd64&distro=debian-12&package-id=d96162e7206cebef&upstream=dav1d
CVE-2023-39616	pkg:deb/debian/libaom3@3.6.0-1%2Bdeb12u2?arch=amd64&distro=debian-12&package-id=9e3b0cc1c76e74b4&upstream=aom
CVE-2023-49463	pkg:deb/debian/libheif1@1.15.1-1%2Bdeb12u1?arch=amd64&distro=debian-12&package-id=6dec48f68a6dce02&upstream=libheif
CVE-2023-50495	pkg:deb/debian/libtinfo6@6.4-4?arch=amd64&distro=debian-12&package-id=a6231fb14cfeaaac&upstream=ncurses
CVE-2023-50495	pkg:deb/debian/ncurses-base@6.4-4?arch=all&distro=debian-12&package-id=ec73073218fd031a&upstream=ncurses
CVE-2023-50495	pkg:deb/debian/ncurses-bin@6.4-4?arch=amd64&distro=debian-12&package-id=c5b18ac268f2ccdf&upstream=ncurses
CVE-2023-51792	pkg:deb/debian/libde265-0@1.0.11-1%2Bdeb12u2?arch=amd64&distro=debian-12&package-id=e9e852b82b9bceda&upstream=libde265
CVE-2023-52355	pkg:deb/debian/libtiff6@4.5.0-6%2Bdeb12u3?arch=amd64&distro=debian-12&package-id=017939ea1216b685&upstream=tiff
CVE-2023-52426	pkg:deb/debian/libexpat1@2.5.0-1%2Bdeb12u2?arch=amd64&distro=debian-12&package-id=66ec0b239b3dc1ac&upstream=expat
CVE-2023-6228	pkg:deb/debian/libtiff6@4.5.0-6%2Bdeb12u3?arch=amd64&distro=debian-12&package-id=017939ea1216b685&upstream=tiff
CVE-2023-6277	pkg:deb/debian/libtiff6@4.5.0-6%2Bdeb12u3?arch=amd64&distro=debian-12&package-id=017939ea1216b685&upstream=tiff
CVE-2023-6879	pkg:deb/debian/libaom3@3.6.0-1%2Bdeb12u2?arch=amd64&distro=debian-12&package-id=9e3b0cc1c76e74b4&upstream=aom
CVE-2024-10041	pkg:deb/debian/libpam-modules-bin@1.5.2-6%2Bdeb12u2?arch=amd64&distro=debian-12&package-id=372dffabd059479c&upstream=pam
CVE-2024-10041	pkg:deb/debian/libpam-modules@1.5.2-6%2Bdeb12u2?arch=amd64&distro=debian-12&package-id=4cab7ef7de016d31&upstream=pam
CVE-2024-10041	pkg:deb/debian/libpam-runtime@1.5.2-6%2Bdeb12u2?arch=all&distro=debian-12&package-id=ca1034d5d24bcf54&upstream=pam
CVE-2024-10041	pkg:deb/debian/libpam0g@1.5.2-6%2Bdeb12u2?arch=amd64&distro=debian-12&package-id=87d8465053cf56c8&upstream=pam
CVE-2024-13978	pkg:deb/debian/libtiff6@4.5.0-6%2Bdeb12u3?arch=amd64&distro=debian-12&package-id=017939ea1216b685&upstream=tiff
